pic1,pic2,mean_score,normalized,isSame,std.,pic_gender
PL2,P,1.15,-1.285114916,0,0.338148215,Male
YG,FA2,1.3,-1.201571266,0,0.459326503,Male
HD,BE,1.35,-1.168291875,0,0.311331026,Female
BK,BS2,1.4,-1.138396128,0,0.477017232,Female
GIG,AD,1.55,-1.049516536,0,0.555967178,Male
IA,GS,1.65,-0.99909057,0,0.526862614,Male
TIS,CCS,1.7,-0.975026687,0,0.566269759,Male
SR,AB,1.7,-0.963262473,0,0.554090535,Male
AJ,DC,1.85,-0.886993523,0,0.527422894,Male
AR,EIA2,1.95,-0.809240568,0,0.804839483,Male
TB,SA2,2,-0.807004527,0,0.613785686,Female
AIT2,DD,2.05,-0.773133033,0,0.592269726,Female
HK,HE,2.05,-0.762041732,0,0.601905818,Female
MK,MK2,2.15,-0.723477995,1,0.759622161,Female
BB,AIG,2.25,-0.657683865,0,0.614227545,Female
FIA,OG2,2.3,-0.635779169,0,0.783508381,Female
MT,MT2,2.35,-0.622179439,1,0.75320124,Female
ES2,SD2,2.4,-0.574665581,0,0.66959025,Female
B,BIB,2.45,-0.563943793,0,0.908972001,Male
DG2,VL,2.45,-0.559831965,0,0.888089367,Female
SL2,DIC,2.4,-0.547406588,0,0.781324515,Male
SIA,HC2,2.5,-0.54533599,0,0.714753441,Female
LH,MIB,2.5,-0.515458684,0,0.857287471,Male
CY,CY2,2.55,-0.510968839,1,0.69358664,Male
AHT2,AA2,2.6,-0.4546091,0,0.80960348,Female
VC,CM,2.65,-0.442008241,0,0.855646112,Male
EA,CID2,2.7,-0.404733426,0,0.736839269,Female
SO,SO2,2.85,-0.351449263,1,0.853373911,Female
TT2,TS,2.85,-0.318025751,0,0.76867243,Female
SH2,NE2,2.9,-0.302315389,0,0.775679907,Female
EO,CK2,2.95,-0.260671647,0,0.795121965,Female
MS,MS2,3,-0.258744195,1,0.84077766,Female
NO,NO2,3.1,-0.23217308,1,0.877357314,Male
PA2,OK2,3.2,-0.121152056,0,0.73048272,Female
DB,DB2,3.3,-0.091694597,1,0.895688348,Male
PN,PK,3.3,-0.090415816,0,0.774905474,Male
IT,IT2,3.3,-0.065026712,1,0.849307114,Female
DBB,BBB2,3.35,-0.044300014,1,0.80807414,Male
AIR,CV2,3.45,0.012183012,0,0.870610883,Female
SS2,SES,3.5,0.043351847,0,0.766531063,Female
GM,GM2,3.6,0.069125114,1,0.835073618,Male
OD,Y,3.55,0.073863755,0,0.807313511,Male
KM,KM2,3.55,0.075682558,1,0.831537596,Male
NK,NK2,3.6,0.081494153,1,0.78672622,Female
ZH,ZH2,3.65,0.092508386,1,0.806838696,Female
KA,KA2,3.7,0.12998179,1,0.821198237,Male
DP,DP2,3.75,0.138159143,1,0.953866185,Male
CSI,MC,3.8,0.175897832,0,0.92764233,Male
KD,MP,3.8,0.197842681,0,0.905345083,Female
KZ,KZ2,3.85,0.222535319,1,1.120636328,Male
SIE,SIE2,3.95,0.231180506,1,0.927650972,Female
GP,GP2,3.85,0.255439548,1,0.936689434,Male
AKA,SSS2,3.95,0.260597429,0,0.672464663,Male
JD,JD2,3.95,0.280271741,1,0.68493521,Male
SC,NX,4,0.310559667,0,0.646677742,Male
SIO2,EE2,4.05,0.336686146,0,0.968262839,Female
MU,MU2,4.1,0.367075534,1,0.930761729,Female
AT,AT2,4.1,0.376228756,1,0.724405916,Female
DK,DK2,4.15,0.400540412,1,0.824500544,Male
SK,SK2,4.2,0.409577008,1,0.838069121,Female
MR,MR2,4.25,0.457954586,1,0.957386937,Male
CU,J,4.3,0.47904387,0,0.810520531,Male
DM,DM2,4.8,0.737431514,1,0.75567866,Female
KS,KS2,4.85,0.78369056,1,0.628278152,Male
MIY,MIY2,4.85,0.793100602,1,0.662132223,Female
AG,TH,4.85,0.797125073,0,0.651905672,Male
CD,CD2,4.9,0.828435561,1,0.701540711,Female
NY,NY2,4.95,0.834409323,1,0.772238874,Female
BT,BT2,5.05,0.875365583,1,0.67366234,Female
BA,BA2,5.15,0.936985075,1,0.824019777,Female
BO,BO2,5.2,0.980940534,1,0.589231446,Male
MY,MY2,5.2,0.988165128,1,0.599700246,Male
CR,CR2,5.35,1.065989675,1,0.588194901,Female
TIM,TIM2,5.35,1.074454474,1,0.651619556,Male
MAC,MAC2,5.4,1.088345645,1,0.502779302,Male
MB,MB2,5.45,1.130623504,1,0.584552022,Female
AS,AS2,5.75,1.300690411,1,0.633576194,Male
AP,AP2,5.75,1.304614139,1,0.618764265,Male
BN,BN2,5.85,1.353874847,1,0.300189783,Female
